Text,Sentiments_analyze
"and I HATE longview Cable I would rather have sat data before I to them","0,0,0
"
"Yes and I'm sure his monkey ass does too on the effin bus everydamnday!.","0,0,1
"
"That's bad ass. I would also like the ability to move immovable objects.","0,0,0
"
"I was one of those of the ppl! Damn near left my Berry on the train LMAO","0,0,0
"
"SaulRand I that group = I LOVE that group. Damn 140 character limit! LOL","0,0,0
"
"dontcha just hate that stuff when it happens?! It makes me feel so dumb.","0,0,0
"
"I feel more beached whale than blessed. This pregnancy thing is a bitch!","0,1,0
"
"&quot;iloveyoubaby&quot; &quot;iloveyoutoobabygirl&quot;  that ^ haha [x","0,1,0
"
"Actually  that's what your here for  to bitch slap the spammers for me :)","0,0,0
"
"that's excellent advice. thanks. i'd hate to be trapped by my own clothes","0,0,0
"
"What do you think about parwents who drink alcohol around their children?","0,0,0
"
"now that's the spirit and a whale of a good deed....thar he (snow) blows!","0,0,0
"
"is the Black Bitch anywhere near Clever Dick's? http://tinyurl.com/axf82t","1,1,1
"
"...uhm  ....did you just flake on showing me what the fuck a hoppe is...?","0,0,0
"
"no. havent you seen Bruce Almighty. Nobody knows what they really want...?","0,0,0
"
"that's even more gay then your previous gayest statement ever made........","1,0,0
"
"I bet im not even famous and I've seen and experienced it its a damn shame","0,0,0
"
"That sucks. I don't remember how long ago we had gas prices that high.....","0,0,0
"
"so do you believe that &quot;What Goes Around ... Comes Back Around&quot;?","0,0,0
"
"Have u evr listened 2 a song repeatedly just b/c it reminded u of ur crush?","0,0,0
"
"wow that sucks big time ... Not fun at all. Thank god it's not all the time","0,0,0
"
"nope--they'll think you finally got fat.  just sayin.  get those cards out.","0,1,0
"
"do you play? I have kind of a love-hate relationship with that stupid game.","0,0,0
"
"! Jingle fucking Bells ! How is Christmas next wk?  Where does the time go?","0,0,0
"
"so you going to be ok when you get your double ass kicking from Paul and I?","0,0,0
"
"just checking if your like a chomo or something ha. good thing you said ew.","0,0,0
"
"OMG!! ahhhh!! Where he go? Damn it he just fell off my window sil! haha jk!","0,0,0
"
"What do you think happens to the missing socks that disappear in the dryer?","0,0,0
"
"with my fat ass fingers its is simply amazing I get anything typed well....","0,0,0
"
"Have you ever seen someone who you KNEW had Herpes? What was your reaction?","0,0,0
"
"@nezua @cripchick  at 0:37 "i hate black pepper!" http://tinyurl.com/69rbnb","0,0,1
"
"well hot damn my wish came true! Where the hell have I been? I had no idea!
","0,0,0
"
"In case it's not obvious  the rabbit  glasses and ass are not phone-cam pix.","0,0,0
"
"I AM NOT!! I cant believe you said that &gt;.&gt; Hate you so much right now","0,0,0
"
"What is one item that you really should throw away  but probably never will?","0,0,0
"
"Would you get mad if i sprayed shaving cream all over your face?? I would!!!","0,0,0
"
"Stingy sucks  I agree  but no need for anything "expensive" on a first date.","0,0,0
"
"I've never found a way so I "star" those. I love GMail when I don't hate it.","0,0,0
"
"i still have that broken ass alienware laptop... alienware = over-rated imho.","0,0,0
"
"well it sorta depends on what mood im in  like i cant really choose favorites","0,0,0
"
"lol...and the ones who are there for a ifetime...u wish it was a damn season!","0,0,0
"
"there is a man who walks his p-b-pig in the domain wonder if they are related","0,0,0
"
"it is one of my lesser performances. Iz kinda like fat elvis vs. young elvis.","0,0,0
"
"If everyone found out NO religion was real  what do you think people would do?","0,0,0
"
"Ack  still no power... that sucks dude.  Hopefully it comes back soon for you!","0,0,0
"
"damn ya gettin it poppin early  its ya bday tho rite? have a good one mayne...","0,0,0
"
"I'm good for a lot more than some damn pie but that's another conversation lol","0,1,0
"
"aw ill ask something so u dont go crazy ^_^  ok um what do you want in life :P","0,0,0
"
"dude come on. Considering the day they had today they played well.  I HATE LA!","0,0,0
"
"Damn me and my "purty" mouth!  Why couldn't I have been born with an ugly one!","0,0,0
"
"because myspace is dead and FB is overrated. :) plus to expand my brain powers","0,0,0
"
"Oh  heck! I was all ready to pull a Dan Rather and pronounce Dick Cheney dead.","0,0,0
"
"I hate Sunday nights becoz the next morning brings the budget meeting. Bleh...","0,0,0
"
"ouch! that sucks! on 2nd thought  u might look cooler  w/ an eye patch!!! LOL!","0,0,0
"
"@lordschmindie You crazy kids be careful  it's a fucking jungle out there!! :~)","0,0,0
"
"kcs got a nice body  but shes insane. taryns got a nice rack  but shes a bitch.","0,1,0
"
"I don't think he's stupid  so I'll just assume he's a disingenuous cunt instead","0,1,0
"
"aw dude!! That sucks.. Well whever u put a new tell me:) nice job with the vids","0,0,0
"
"next week? I'll be the biggest loser in the world until then. (what else is new)","0,0,0
"
"Fuck that I have had some gin some vodka and I think Andrew got me rum and coke.","0,0,0
"
"if the sweaty ping pong player you're referring to is me  then I hate your guts.","0,0,0
"
"I don't . but when i was little  sweet and sour sauce from mickey d's :] hahahha","0,0,0
"
"Dear Eron: the drums sound fucking incredible....  Er.. I mean godly incredible.","0,0,0
"
"its prolly not who you think it is.. i just wanted you to know what i thought :)","0,0,0
"
"Cheesecake or brownies?  You can only pick one to have for the rest of your life.","0,0,0
"
"LOL damn. great article though. too bad it seems to be airplaning for someone :-)","0,0,0
"
"If you could only read one magazine for the rest of your life  which would it be?","0,0,0
"
"I heard it sucks...The effects were nice but it was a bad remake of the original.","0,0,0
"
"Actually I think we all hate this weather so everybody just stays in all the time","0,0,0
"
"damn I have to drive my dad to the airport that time oh well wonder wit it's about","0,0,0
"
"OJ seriously needs to get it together ..karma is a bitch though  caught up to him~","0,1,0
"
"What time do zombies cum out n play? If it's passed 10  sorry. Maybe next weekend?","0,0,0
"
"that totally sucks! I know who's gonna get grinched now! damn danville-ites &gt;:(","0,0,0
"
":( NOOO dont takj about ti  im procrastinating enough with twitter. DAMN INTERNET.","0,0,0
"
"what's up my coffee  let's call with a blocked number so I don't answer bitch? LOL","0,1,0
"
"I used to have a ton more than i do now. Why aren't we friends on fb yet??? hahaha","0,0,0
"
"I hate the month of January! Can we bring back November? Better yet  last semester?","0,0,0
"
"i speak english frensh and a little arabic cuz i&;ve been to egypt a lotta times :D","0,0,0
"
"hate that place! Oh...i got my camera. The D40! It is amazing. Thanks for the help.","0,0,0
"
"bahah yup that you do. but im not gonna tell the whole fuckign world what it is lol","0,0,0
"
"may be... but I hate them...!! cannot even imagine forgiving n forgettin..no ways..","0,0,0
"
"if you had the opportunity to be in a movie with any actor/actress who would it be?","0,0,0
"
"What would you do if you found the wallet of your next-door neighbor who you hated?","0,0,0
"
"Congrats mate!  That kicks ass!  You should post on the forum to encourage others :)","0,0,0
"
"Fat Ladies ... England ... yeah I hear ya ... *giggle* ......... (was that unfair??)","0,0,0
"
"Goes for lawyers  too!  "This is why they hate us  we're only as good as our worst."","0,0,0
"
"DAMN. I just lost too. Thanks Alyssa. And I decided that PATD's new CD isn't so bad.","0,0,0
"
"jordin!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! rudeo did you say the other mean things to?","0,0,0
"
"If you people really still think that Tabi&;s fake  go look at her dang MySpace. -.-","0,0,0
"
"http://twitpic.com/w588 - YEEEEEEEEEEESSSSS!  Those damn Salingers  I loved them too","0,0,0
"
"yea I drive a punk ass  truck so Im lovin these petro prices. 10 bux is half a tank.","0,0,0
"
"oh that shit is funny. the best video that dude has made. Better than dick in a box.","1,0,0
"
"I don't know what an ocean park is.. but if it counts  I've went to seaworld twice :]","0,0,0
"
"damn i want to be a Jew this year! i want to go to the movies and get Chinese noddles","0,0,1
"
"For some reason I really hate that movie and those books. Bunch of weak ass vampires.","0,0,0
"
"I'm surprised you hate this movie so much - um  what exactly is a good movie for you?","0,0,0
"
"it actually goes off the gay years scale! But thanksfully  us gays stop ageing at 27!","1,0,0
"
"yeah he did then got big again how I hv no idea. But totally agree about kicking ass.","0,0,0
"
"then fuck them. go to a mac with an iphone hooked up and jailbreak it. thatll teach em","0,0,0
"
"I so do!! When I come to visit we shalll. Woohoo! I cannot wait. =)) Love you  bitch!!","0,1,0
"
"nothing says you love him more than wooly ass sweaters and gift certificates for beer!","0,0,0
"
"Why do doctors leave the room when you change? They&;re going to see you naked anyway.","0,1,0
"
"no kidding! dick clark was a corpse mechanically operated by the advertising companies","0,0,0
"
"lochness: yea  he did a good job of getting shunned if not his ass kicked for sometime","0,0,0
"
"I hope someone is getting injured in the process of the REAL LIFE PILLOWFIGHT FUCK YEAH","0,0,0
"
"you know i bought a pomegranate today because of your ass! i better not get obsessed...","0,1,0
"
"What&;s your favourite part of you on the outside and your favourite part on the inside?","0,0,0
"
"I hate when that happens. Let me guess  Sales  and Marketing need new web reports?... :/","0,0,0
"
"Downey is a freak of actor nature - he makes every character magnetic.  It was a winner.","0,0,0
"
"Not sure if you saw him kissing his wife--Dick Clark moves pretty fast when he has to...","0,0,0
"
"hey- finally managed to book the damn tickets online- took me over an hour!!! PVR sucks.","0,0,0
"
"I knew you were cute and sweet  but damn  my teeth are aching!! http://xrl.us/GreenGiant","0,0,0
"
"except when there is a cat being held above my mom and the word gay~ is being used. lol.","1,0,0
"
"its the fat white one. When the recession is over would buy Logitech diNovo BT KB Sweet!","0,0,1
"
"when you feel like you accomplished things you wanted to do and had the time of your life","0,0,0
"
"*gasp* I may have to terminate our intarwebz friendship because you hate Anne. *cries* ;)","0,0,0
"
"Full confidence in your ability to kick ass in the new work... *raises a glass in spirit*","0,0,0
"
"What's goodie Jamz! ROTFLMAO @ the fact that T-Pain's singing damn near gives u seizures!","0,0,0
"
"God that was a fun night  I want to relive it...we danced in wall mart to betoven bahahaha","0,0,0
"
"with nail grooming tools? file  clippers  no biting people! thats so gross and unsanitary.","0,0,0
"
"Yo Sissahands! Why the fuck I aint on ya top-friends jawn on myspace n that homo Ivan is??","1,1,0
"
"damn...lemme get one of them lol! im waay far from @cathyrnmarie or you yet!! hahaaaahaaha","0,0,0
"
"i dont hate her  i just dont like somethings she does  doesnt mean those jokes arnt ourss?","0,0,0
"
"I'd just hate to be known in my career as the "diarrhea guy".  Happy Holidays to you too!!","0,0,0
"
"damn two days in a row lmao and once again mommie i had no part in this  it was Gabby lmao","0,0,0
"
"thanks sweety. Loki just rubbed me in with Ben Gay before he passed out for the night. too.","0,0,0
"
"my computer does that too! &quot;Invalid request&quot; haha thanks for all the questions :]","0,0,0
"
"What do people most often criticize about you? (If some of these are doules I am so sorry.)","0,0,0
"
"People say &quot;I don&;t know&quot; alot. Is that a real answer? (Personally I think not.)","0,0,0
"
"She is whatever the Hell she wants to be  and not one bit of that is anyone named Cheyenne!","0,0,0
"
"dude  you must earn  or have a lot of dough to shell out 50usd a day! Damn  that's serious!","0,0,0
"
"I nominate @Tony_D for #coffee because without it  he might never FINISH HIS FUCKING NOVEL.","0,0,0
"
"hahahahahahahhahahahahahahahahahahhahahahahahahahahahahaahahhahaahhahahaahahahaaaaaa!!!!!!!!","0,0,0
"
"i'm giving you a heart cuz i'm assuming this is me and byron  if not i hate u but here &lt;3","0,0,0
"
"when they hate / sneak diss. that means you are doing TOO much. Asvice: fcuk em & keep goin.","0,0,0
"
"Uhmm like 6th grade on a corner of a street. I was on my corner :O Lol jk and it was randi..","0,0,0
"
"If you had to choose between a millions bucks and being able to fly  which would you choose?","0,0,0
"
"I cannot listen to that Heavy metal! I like me some rock(oldies) bhut not that scary shit ;D","0,0,0
"
"Would you rather have a lovely day in with your family or go out partying with your friends?","0,0,0
"
"I can damn near listen to his album in it's entirety without skipping..which is a good thing","0,0,0
"
"Wow. this is a hard 1 i dnt think ive had 1 or i have many! I love my smoothies tho! YUMMIE!","0,0,0
"
"Ugh. I fucking hate Ben 10. I remember how much bs it cause for my dept. when I was with CN.","0,0,0
"
"are you sure you know what your getting yourself into by following my twitter whore account?","0,1,0
"
"Ooops. I knew that! Totally did (No sarcasm). I hate typos. My fingers are a mind of its own.","0,0,0
"
"ask that nigga why he auto-tuned that joint if he can actually sing...I hate that shit...haha","1,0,1
"
"If an orange is orange and called an orange  why is a banana yellow and not called a  yellow?","0,0,0
"
"although it means early holiday and time to prepare for next year - it sucks either way though","0,0,0
"
"just so you no  my ass hurts more now. right where the leg meets the butt.. the cup-able part.","0,0,0
"
"Nigga when you see me in the streets it's going down! chitty chitty bang bang  bitch ass nigga","1,1,1
"
"yeah that song suck  santagold sucks too. nice picture  i'm just seeing it  ur skin looks good","0,0,0
"
"Wait. Are you Cheyenne? I sent a request to you? Wait  why is your name Tabitha?? R u fake????","0,0,0
"
"tee hee! I consider the added fat 2B "personal insulation" - it gets dern cold here in WI.  ;)","0,0,0
"
"- can be quite a rough routine but I'm gonna rock out with my cock out! Doctors orders &#9824;","0,0,0
"
