Text,Sentiments_analyze
"'s goodie jamz rotflmao fact t-pain 's singing damn near give u seizure","0,0,0
"
"god fun night want relive ... danced wall mart betoven bahahaha","0,0,0
"
"nail grooming tool file clipper biting people thats gross unsanitary","0,0,0
"
"yo sissahands fuck aint ya top-friends jawn myspace n homo ivan","1,1,0
"
"damn ... lem get one lol im waay far cathyrnmarie yet hahaaaahaaha","0,0,0
"
"dont hate dont like somethings doesnt mean joke arnt ourss","0,0,0
"
"'d hate known career `` diarrhea guy '' happy holiday","0,0,0
"
"damn two day row lmao mommie part gabby lmao","0,0,0
"
"thanks sweety loki rubbed ben gay passed night","0,0,0
"
"computer quot invalid request quot haha thanks question","0,0,0
"
"people often criticize doules sorry","0,0,0
"
"people say quot know quot alot real answer personally think","0,0,0
"
"whatever hell want one bit anyone named cheyenne","0,0,0
"
"dude must earn lot dough shell 50usd day damn 's serious","0,0,0
"
"nominate tony_d coffee without might never finish fucking novel","0,0,0
"
"hahahahahahahhahahahahahahahahahahhahahahahahahahahahahaahahhahaahhahahaahahahaaaaaa","0,0,0
"
"'m giving heart cuz 'm assuming byron hate u lt 3","0,0,0
"
"hate sneak dis mean much asvice fcuk em keep goin","0,0,0
"
"uhmm like 6th grade corner street corner lol jk randi ..","0,1,0
"
"choose million buck able fly would choose","0,0,0
"
"listen heavy metal like rock oldie bhut scary shit","0,0,0
"
"would rather lovely day family go partying friend","0,0,0
"
"damn near listen album 's entirety without skipping .. good thing","0,0,0
"
"wow hard 1 dnt think ive 1 many love smoothy tho yummie","0,0,0
"
"ugh fucking hate ben 10. remember much b cause dept cn","0,0,0
"
"sure know getting following twitter whore account","0,1,0
"
"ooops knew totally sarcasm hate typo finger mind","0,0,0
"
"ask nigga auto-tuned joint actually sing ... hate shit ... haha","1,0,1
"
"orange orange called orange banana yellow called yellow","0,0,0
"
"although mean early holiday time prepare next year suck either way though","0,0,0
"
"as hurt right leg meet butt .. cup-able part","0,0,0
"
"nigga see street 's going chitty chitty bang bang bitch as nigga","1,1,1
"
"yeah song suck santagold suck nice picture 'm seeing ur skin look good","0,0,0
"
"wait cheyenne sent request wait name tabitha r u fake","0,0,0
"
"tee hee consider added fat 2b `` personal insulation '' get dern cold wi","0,0,0
"
"quite rough routine 'm gon na rock cock doctor order 9824","0,0,0
"
